Building,Category,Value
"Bricker, John W, Hall",Administration,74140
Oxley Hall,Academic,31148
"Kennedy, June F, Commons",Student Housing,36868
"Sullivant, Joseph, Hall",Academic,135883
Watts Hall,Academic/Research,35504
"Arps, George F, Hall",Academic,129371
Torres House,Student Housing,127073
Houston House,Student Housing,136557
Raney House,Student Housing,125474
Bowen House,Student Housing,95448
Busch House,Student Housing,109926
Curl Hall,Student Housing,25653
Blackburn House,Student Housing,132162
Scott House,Student Housing,169311
North Recreation Center,Student Activity,28834
Nosker House,Student Housing,106857
Biomedical Research Tower,Research,412630
"Smith, Thomas, Electrical Substation",Facilities,23886
"Jennings, Edward H, Hall",Academic/Research,112502
Psychology Building,Academic,132733
"Bolz, Harold A, Hall",Academic,82179
Newman and Wolfrom Laboratory of Chemistry,Lab,62058
"Scott, Peter L and Clara M, Laboratory",Academic/Research,262375
"Hopkins, James R, Hall",Academic,110154
"Evans, William Lloyd, Laboratory",OSUWMC,117574
Student Academic Services Building,Office,137250
Ohio Union,Student Housing,317694
"Tzagournis, Manuel, Medical Research Facilty",Academic/Research,80417
"Knowlton, Austin E, Hall",Academic,174422
Starling Loving Hall,Academic/Research,149403
"Campbell, Elizabeth Owens, Hall",Academic,115368
"Goss, Leonard W, Laboratory",Academic/Research,67943
Mathematics Building,Academic,28893
Physical Activity and Education Services - PAES,Academic,163899
Recreation and Physical Activity Center,Student Housing,279848
Chemical and Biomolecular Engineering and Chemistry Building,Academic/Research,236537
"Fisher, Max M, Hall",Administration,132056
Derby Hall,Academic/Administration,115334
Schoenbaum Undergrad Program Bldg,Academic/Administration,62748
"Mason, Raymond E, Hall",Academic,68150
Blackwell Inn,Hotel,127992
"Riffe, Vernal G, Jr, Building",Lab,130130
"Parks, Lloyd M, Hall",Academic/Research,119237
Hitchcock Hall,Academic,118612
"Newton, Mildred E, Hall",Academic/Research,80833
Biological Science Building,Academic/Research,180694
"Dreese Laboratories, Erwin E",Academic,185430
"Baker, David F, Systems Engineering Building (The)",Academic,114930
"Cunz, Dieter, Hall",Academic,68100
Drake Performance and Event Center,Academic,115835
Agricultural Engineering Building,Agricultural,120345
Veterinary Medical Center,Veterinary,222496
Agricultural Administration Building,Academic/Administration,100228
"Denney, Joseph Villiers, Hall",Academic,103770
"Dulles, Foster Rhea, Hall",Academic,41284
Independence Hall,Academic,15891
University Hall,Academic,77845
"Kottman, Roy M, Hall",Academic,167040
"Weigel, Eugene J, Hall",Academic,47042
"Twelfth Ave, 395 W",Administration,90747
Hagerty Hall,Academic,142496
"Celeste, Richard F, Laboratory of Chemistry",Lab,110310
The Ohio State University Comprehensive Cancer Center - Arthur G. James Ca*,Patient Care/Research,1186252
"Chilled Water Plant, East Regional",Facilities,34246
Wexner Center for the Arts,Museum,131071
"Chiller Plant, South Campus Central",Facilities,83056
Water Treatment Building,Facilities,19862
Lazenby Hall,Academic,67323
Journalism Building,Academic,84561
"Drinko, John Deaver, Hall",Academic,211467
Eighteenth Avenue Library,Library,99181
"Thompson, William Oxley, Memorial Library",Library,300459
McPherson Chemical Laboratory,Academic/Research,117599
Mendenhall Laboratory,Academic/Administration,122567
Mershon Auditorium,Auditorium,120223
Orton Hall,Academic/Administration,41022
Page Hall,Academic,64665
"Smith, Alpheus, Laboratory",Academic/Research,218839
Pomerene Hall,Academic,73603
McCracken Power Plant,Facilities/Administration,110142
Mathematics Tower,Academic,61621
Physics Research Building,Academic/Research,238732
=Central Service Building,Facilities,15136
Sisson Hall,Academic/Research,55501
"Schottenstein, Jerome, Center",Athletics,607827
"Hale, Frank W, Jr, Hall",Academic/Administration,47001
Park-Stradley Hall,Student Housing,271039
Smith-Steeb Hall,Student Housing,262198
Townshend Hall,Academic,64406
Siebert Hall,Student Housing,85839